Out X,Out Y
0.002534999999999981,226.9999999999999
0.002539999999999981,225
0.00254499999999998,225.9999999999999
0.00254999999999998,228
0.00255499999999998,225.9999999999999
0.00255999999999998,225
0.00256499999999998,226.9999999999999
0.002569999999999979,226.9999999999999
0.002574999999999979,226.9999999999999
0.002579999999999979,225.9999999999999
0.002584999999999979,225
0.002589999999999979,226.9999999999999
0.002594999999999978,226.9999999999999
0.002599999999999978,225.9999999999999
0.002604999999999978,224
0.002609999999999978,225.9999999999999
0.002614999999999978,226.9999999999999
0.002619999999999977,225
0.002624999999999977,223
0.002629999999999977,224
0.002634999999999977,225.9999999999999
0.002639999999999977,225
0.002644999999999976,222
0.002649999999999976,223
0.002654999999999976,223
0.002659999999999976,223
0.002664999999999976,221
0.002669999999999975,222
0.002674999999999975,221
0.002679999999999975,220
0.002684999999999975,221
0.002689999999999975,219
0.002694999999999974,218
0.002699999999999974,219
0.002704999999999974,217
0.002709999999999974,217
0.002714999999999974,217
0.002719999999999973,216
0.002724999999999973,214
0.002729999999999973,214
0.002734999999999973,215
0.002739999999999972,212
0.002744999999999972,211
0.002749999999999972,212
0.002754999999999972,210
0.002759999999999972,210
0.002764999999999971,209
0.002769999999999971,207
0.002774999999999971,207
0.002779999999999971,206
0.002784999999999971,205
0.00278999999999997,204
0.00279499999999997,203
0.00279999999999997,203
0.00280499999999997,200
0.00280999999999997,200
0.002814999999999969,200
0.002819999999999969,199
0.002824999999999969,195
0.002829999999999969,196
0.002834999999999969,195
0.002839999999999968,195
0.002844999999999968,192
0.002849999999999968,190
0.002854999999999968,190
0.002859999999999968,191
0.002864999999999967,187
0.002869999999999967,186
0.002874999999999967,186
0.002879999999999967,184
0.002884999999999967,183
0.002889999999999966,181
0.002894999999999966,181
0.002899999999999966,180
0.002904999999999966,177
0.002909999999999966,176
0.002914999999999965,175
0.002919999999999965,175
0.002924999999999965,172
0.002929999999999965,171
0.002934999999999965,169
0.002939999999999964,169
0.002944999999999964,168
0.002949999999999964,165
0.002954999999999964,164
0.002959999999999964,163
0.002964999999999963,161
0.002969999999999963,160
0.002974999999999963,159
0.002979999999999963,158
0.002984999999999963,154
0.002989999999999962,154
0.002994999999999962,155
0.002999999999999962,152
0.003004999999999962,148
0.003009999999999961,146
0.003014999999999961,148
0.003019999999999961,149
0.003024999999999961,144
0.003029999999999961,139
0.00303499999999996,138
0.00303999999999996,143
0.00304499999999996,143
0.00304999999999996,134
0.00305499999999996,128
0.003059999999999959,133
0.003064999999999959,139
0.003069999999999959,134
0.003074999999999959,123
0.003079999999999959,121
0.003084999999999958,129
0.003089999999999958,132
0.003094999999999958,123
0.003099999999999958,114
0.003104999999999958,117
0.003109999999999957,123
0.003114999999999957,123
0.003119999999999957,113
0.003124999999999957,106
0.003129999999999957,112
0.003134999999999956,118
0.003139999999999956,113
0.003144999999999956,102
0.003149999999999956,101
0.003154999999999956,107
0.003159999999999955,111
0.003164999999999955,103
0.003169999999999955,93
0.003174999999999955,95
0.003179999999999955,103
0.003184999999999954,103
0.003189999999999954,93
0.003194999999999954,85
0.003199999999999954,90
0.003204999999999954,98
0.003209999999999953,95
0.003214999999999953,81
0.003219999999999953,81
0.003224999999999953,87.00000000000001
0.003229999999999953,90
0.003234999999999952,83.00000000000001
0.003239999999999952,76
0.003244999999999952,78
0.003249999999999952,81
0.003254999999999952,79
0.003259999999999951,74
0.003264999999999951,74
0.003269999999999951,73
0.003274999999999951,73
0.00327999999999995,71
0.00328499999999995,69
0.00328999999999995,68
0.00329499999999995,68
0.00329999999999995,66
0.003304999999999949,64
0.003309999999999949,63
0.003314999999999949,64
0.003319999999999949,61.99999999999999
0.003324999999999949,59
0.003329999999999948,58
0.003334999999999948,59.99999999999999
0.003339999999999948,56.99999999999999
0.003344999999999948,55.99999999999999
0.003349999999999948,54
0.003354999999999947,54
0.003359999999999947,54
0.003364999999999947,51.99999999999999
0.003369999999999947,51
0.003374999999999947,49.99999999999999
0.003379999999999946,48
0.003384999999999946,49.99999999999999
0.003389999999999946,47
0.003394999999999946,47
0.003399999999999946,45
0.003404999999999945,45
0.003409999999999945,45
0.003414999999999945,42
0.003419999999999945,43
0.003424999999999945,43
0.003429999999999944,41.00000000000001
0.003434999999999944,39
0.003439999999999944,41.00000000000001
0.003444999999999944,39
0.003449999999999944,38
0.003454999999999943,38
0.003459999999999943,37
0.003464999999999943,37
0.003469999999999943,36
0.003474999999999943,36
0.003479999999999942,35
0.003484999999999942,34
0.003489999999999942,34
0.003494999999999942,34
0.003499999999999942,33
0.003504999999999941,33
0.003509999999999941,33
0.003514999999999941,32
0.003519999999999941,31
0.003524999999999941,32
0.00352999999999994,31
0.00353499999999994,31
0.00353999999999994,31
0.00354499999999994,30
0.003549999999999939,31
0.003554999999999939,29
0.003559999999999939,31
0.003564999999999939,29
0.003569999999999939,30
0.003574999999999938,30
0.003579999999999938,29
0.003584999999999938,30
0.003589999999999938,29
0.003594999999999938,30
0.003599999999999937,30
0.003604999999999937,29
0.003609999999999937,30
0.003614999999999937,30
0.003619999999999937,29
0.003624999999999936,31
