spectrum_vin (va=0.05) X,spectrum_vin (va=0.05) Y,spectrum_vin (va=0.02) X,spectrum_vin (va=0.02) Y,spectrum_vin (va=0.1) X,spectrum_vin (va=0.1) Y
21191.40625,-312.6748247235374,21191.40625,-320.5106267750441,21191.40625,-306.6542248102578
21289.0625,-312.8939279029248,21289.0625,-320.8534589066182,21289.0625,-306.8733279896452
21386.71875,-312.8895796842832,21386.71875,-320.8820278640581,21386.71875,-306.8689797710036
21484.375,-312.9077190044014,21484.375,-320.854778422898,21484.375,-306.8871190911218
21582.03125,-312.9946382202487,21582.03125,-320.9562950641824,21582.03125,-306.9740383069691
21679.6875,-312.9462995395074,21679.6875,-320.921268336167,21679.6875,-306.9256996262278
21777.34375,-313.0628654245979,21777.34375,-321.011490643458,21777.34375,-307.0422655113183
21875,-312.9857187512513,21875,-320.9408072702824,21875,-306.9651188379717
21972.65625,-313.1191464977613,21972.65625,-321.0661593200106,21972.65625,-307.0985465844818
22070.3125,-313.0979920668807,22070.3125,-321.0594258972733,22070.3125,-307.0773921536011
22167.96875,-313.1025852205827,22167.96875,-321.0876213336195,22167.96875,-307.0819853073031
22265.625,-313.2057516664047,22265.625,-321.1520835449705,22265.625,-307.1851517531251
22363.28125,-313.2379835618106,22363.28125,-321.2234656965978,22363.28125,-307.2173836485309
22460.9375,-313.2153113273755,22460.9375,-321.1756653742707,22460.9375,-307.1947114140959
22558.59375,-313.3294141099628,22558.59375,-321.3801597015408,22558.59375,-307.3088141966832
22656.25,-313.2479374564897,22656.25,-321.2028685578566,22656.25,-307.2273375432101
22753.90625,-313.3351190079049,22753.90625,-321.26276349472,22753.90625,-307.3145190946253
22851.5625,-313.4289958147705,22851.5625,-321.3995506006703,22851.5625,-307.4083959014908
22949.21875,-313.6380896689058,22949.21875,-321.6066442076598,22949.21875,-307.6174897556262
23046.875,-313.4973367153146,23046.875,-321.442552988376,23046.875,-307.476736802035
23144.53125,-313.5267701292282,23144.53125,-321.4919760860741,23144.53125,-307.5061702159486
23242.1875,-313.5540201608385,23242.1875,-321.5207267549038,23242.1875,-307.533420247559
23339.84375,-313.5297874181547,23339.84375,-321.5032613590311,23339.84375,-307.5091875048751
23437.5,-313.5467420921054,23437.5,-321.499237720766,23437.5,-307.5261421788258
23535.15625,-313.7028880036369,23535.15625,-321.6555583360926,23535.15625,-307.6822880903572
23632.8125,-313.717433807637,23632.8125,-321.6938591281024,23632.8125,-307.6968338943573
23730.46875,-313.7968665770906,23730.46875,-321.7291978053144,23730.46875,-307.7762666638109
23828.125,-313.6884058912559,23828.125,-321.6467095018828,23828.125,-307.6678059779763
23925.78125,-313.5375252643544,23925.78125,-321.5068932770304,23925.78125,-307.5169253510748
24023.4375,-313.5963787405488,24023.4375,-321.5642915453995,24023.4375,-307.5757788272692
24121.09375,-313.8250638586625,24121.09375,-321.7432475236867,24121.09375,-307.8044639453828
24218.75,-313.8286820978607,24218.75,-321.8063145406597,24218.75,-307.8080821845811
24316.40625,-313.9206209030525,24316.40625,-322.0803384043845,24316.40625,-307.9000209897729
24414.0625,-314.0771937619869,24414.0625,-322.0437057002261,24414.0625,-308.0565938487073
24511.71875,-313.9508130457387,24511.71875,-321.8888475317857,24511.71875,-307.9302131324591
24609.375,-314.0357052600473,24609.375,-321.9997582370792,24609.375,-308.0151053467677
24707.03125,-314.0446208092836,24707.03125,-321.970047079878,24707.03125,-308.024020896004
24804.6875,-314.0132458789698,24804.6875,-321.9699864407514,24804.6875,-307.9926459656901
24902.34375,-314.173339650717,24902.34375,-322.1195135368304,24902.34375,-308.1527397374374
25000,-314.1773439942236,25000,-322.1251959900118,25000,-308.156744080944
25097.65625,-314.2212487455872,25097.65625,-322.2029035199697,25097.65625,-308.2006488323076
25195.3125,-314.2223518811411,25195.3125,-322.1916635468859,25195.3125,-308.2017519678615
25292.96875,-314.0658744830342,25292.96875,-322.0012894179137,25292.96875,-308.0452745697546
25390.625,-314.0896360781811,25390.625,-322.0492745761117,25390.625,-308.0690361649014
25488.28125,-314.1262951762584,25488.28125,-322.1027285017576,25488.28125,-308.1056952629788
25585.9375,-314.2507581668139,25585.9375,-322.207634395382,25585.9375,-308.2301582535343
25683.59375,-314.3442485182333,25683.59375,-322.1566553759991,25683.59375,-308.3236486049537
25781.25,-314.4214274047848,25781.25,-322.3639200382162,25781.25,-308.4008274915052
25878.90625,-314.368690364236,25878.90625,-322.3587472844174,25878.90625,-308.3480904509564
25976.5625,-314.4243516942321,25976.5625,-322.3662717648202,25976.5625,-308.4037517809525
26074.21875,-314.5361582773066,26074.21875,-322.5286722549402,26074.21875,-308.515558364027
26171.875,-314.4962155394421,26171.875,-322.4616826130232,26171.875,-308.4756156261624
26269.53125,-314.5235539037961,26269.53125,-322.5024423533558,26269.53125,-308.5029539905165
26367.1875,-314.3768465204058,26367.1875,-322.3391899492932,26367.1875,-308.3562466071262
26464.84375,-314.497188198153,26464.84375,-322.4667744166464,26464.84375,-308.4765882848733
26562.5,-314.7049040523393,26562.5,-322.6577815828985,26562.5,-308.6843041390597
26660.15625,-314.6891095289215,26660.15625,-322.5896734929271,26660.15625,-308.6685096156419
26757.8125,-314.8697636231806,26757.8125,-322.8202069233256,26757.8125,-308.849163709901
26855.46875,-314.5983697133377,26855.46875,-322.5304998740378,26855.46875,-308.577769800058
26953.125,-314.4587458348611,26953.125,-322.4078539313667,26953.125,-308.4381459215815
27050.78125,-314.8363658739003,27050.78125,-322.8117633961609,27050.78125,-308.8157659606207
27148.4375,-314.8495775613878,27148.4375,-322.8162298776033,27148.4375,-308.8289776481082
27246.09375,-314.9520904688351,27246.09375,-322.885390430174,27246.09375,-308.9314905555555
27343.75,-314.8444837004254,27343.75,-322.7981544468544,27343.75,-308.8238837871458
27441.40625,-314.9007441311393,27441.40625,-322.8991018726996,27441.40625,-308.8801442178597
