spectrum_Out (va=0.02) X,spectrum_Out (va=0.02) Y,spectrum_Out (va=0.05) X,spectrum_Out (va=0.05) Y,spectrum_Out (va=0.1) X,spectrum_Out (va=0.1) Y
10156.25,-52.30614060275336,10156.25,-58.23302263520841,10156.25,-51.23252787057329
10253.90625,-57.63760619465194,10253.90625,-52.02094962832302,10253.90625,-49.84369438762054
10351.5625,-55.44045388686921,10351.5625,-53.99719078907395,10351.5625,-53.93216988147572
10449.21875,-58.84053216409875,10449.21875,-61.70650640861275,10449.21875,-56.68599264950671
10546.875,-56.75717251085263,10546.875,-49.4278971307392,10546.875,-61.38379098842453
10644.53125,-50.16722735561282,10644.53125,-45.00202642036885,10644.53125,-50.87721725508111
10742.1875,-52.53504791616584,10742.1875,-46.59228072941977,10742.1875,-51.05522250482514
10839.84375,-60.0823749841236,10839.84375,-48.14968106488857,10839.84375,-53.79940079903506
10937.5,-59.80801028156469,10937.5,-55.88291310109318,10937.5,-58.12785971396852
11035.15625,-50.06883665691124,11035.15625,-52.86762264759659,11035.15625,-51.04752991883034
11132.8125,-48.14403429645959,11132.8125,-53.99716225391153,11132.8125,-54.97818004867369
11230.46875,-67.04705118573965,11230.46875,-49.46942536830267,11230.46875,-48.52008669822162
11328.125,-49.33761978034973,11328.125,-52.20839335850678,11328.125,-50.26830943239921
11425.78125,-60.47660144394092,11425.78125,-51.0639528410421,11425.78125,-46.48709947521574
11523.4375,-55.60041315927827,11523.4375,-52.62685305303616,11523.4375,-53.68117073777425
11621.09375,-53.17919828826183,11621.09375,-47.77144529698428,11621.09375,-51.31573678407734
11718.75,-50.80415933146513,11718.75,-54.74879594312757,11718.75,-54.02686764571776
11816.40625,-46.89885716770912,11816.40625,-49.54116611963662,11816.40625,-57.75400291225566
11914.0625,-52.38046038904037,11914.0625,-52.89031610970896,11914.0625,-49.47837328591554
12011.71875,-47.07845455059577,12011.71875,-48.26661029924767,12011.71875,-47.86190290443952
12109.375,-44.4393314303513,12109.375,-59.63089960274638,12109.375,-63.99165381027955
12207.03125,-47.66021475483778,12207.03125,-44.55025557297575,12207.03125,-59.76977641279749
12304.6875,-51.47735396180506,12304.6875,-49.72975897596954,12304.6875,-46.49669959782345
12402.34375,-61.42274432578998,12402.34375,-52.70230415909245,12402.34375,-46.58077817001195
12500,-65.3627699379946,12500,-46.5830894948872,12500,-57.9402879972743
12597.65625,-50.54100264544371,12597.65625,-56.51881288334735,12597.65625,-51.8408667947572
12695.3125,-52.67943648411291,12695.3125,-46.85040935201479,12695.3125,-49.21305444445668
12792.96875,-47.16394940905668,12792.96875,-50.72686980665352,12792.96875,-45.33856744407995
12890.625,-56.3007478858789,12890.625,-43.61009531024068,12890.625,-42.06338453185923
12988.28125,-53.08899041658805,12988.28125,-53.75475791005879,12988.28125,-58.14227934525316
13085.9375,-63.87569241842223,13085.9375,-53.10736993248228,13085.9375,-58.11199051605522
13183.59375,-48.76652841220684,13183.59375,-50.58156608662742,13183.59375,-53.34893132105994
13281.25,-48.48596116183606,13281.25,-49.34861086601355,13281.25,-44.81712722051316
13378.90625,-54.46224050440394,13378.90625,-57.76259188271925,13378.90625,-45.92492880845161
13476.5625,-47.98614031826826,13476.5625,-46.1773792651414,13476.5625,-54.21598111916942
13574.21875,-46.93936077035409,13574.21875,-47.79397633505214,13574.21875,-54.31402195203908
13671.875,-48.07332109960071,13671.875,-55.48941427361802,13671.875,-43.04615512796688
13769.53125,-53.84874831036839,13769.53125,-52.4011234335838,13769.53125,-48.28417510345969
13867.1875,-50.3218769556583,13867.1875,-52.42037401971122,13867.1875,-63.37265432518099
13964.84375,-46.64610935262698,13964.84375,-48.04138076014947,13964.84375,-53.26930966452507
14062.5,-58.54937321782149,14062.5,-45.40129076049073,14062.5,-42.66503841125481
14160.15625,-54.09043991025966,14160.15625,-46.63426523897592,14160.15625,-51.05078244785423
14257.8125,-60.29503639114423,14257.8125,-50.82592802421554,14257.8125,-52.55324687826992
14355.46875,-51.656802375898,14355.46875,-53.49226659688534,14355.46875,-50.47121745934098
14453.125,-47.47247132429066,14453.125,-45.84722570793748,14453.125,-43.65388565980011
14550.78125,-56.50854492917927,14550.78125,-50.37510503053475,14550.78125,-48.59859665976428
14648.4375,-44.062352680994,14648.4375,-62.12750344191566,14648.4375,-47.03150443492749
14746.09375,-45.2861257369965,14746.09375,-60.73873377780846,14746.09375,-50.10616062637243
14843.75,-56.04224212374611,14843.75,-49.51673659105873,14843.75,-49.33947496111007
14941.40625,-64.06466721173024,14941.40625,-43.78191262511056,14941.40625,-48.68199866996416
15039.0625,-49.83975568886115,15039.0625,-56.55930037086789,15039.0625,-46.5179102775278
15136.71875,-54.04763777997558,15136.71875,-47.65884508747697,15136.71875,-56.36855798549603
15234.375,-41.66276908396094,15234.375,-42.08577885967852,15234.375,-46.11414526085465
15332.03125,-49.19490847076695,15332.03125,-45.67929904359509,15332.03125,-50.2836398927283
15429.6875,-52.88431589063304,15429.6875,-48.26946773616715,15429.6875,-44.53179771791402
15527.34375,-49.94701670356471,15527.34375,-47.51810775176007,15527.34375,-49.36519828533618
15625,-49.64473343595398,15625,-50.25741590633679,15625,-47.341073919185
15722.65625,-47.41052837142536,15722.65625,-53.29772550262498,15722.65625,-45.65885605558285
15820.3125,-46.23624091668158,15820.3125,-50.20284151913549,15820.3125,-53.93497341055867
