spectrum_Out X,spectrum_Out Y,spectrum_ve X,spectrum_ve Y,spectrum_vin X,spectrum_vin Y
5175.781249999999,-48.91729918502896,5175.781249999999,-102.1183379490577,5175.781249999999,-294.5175786649679
5273.437499999999,-54.43069614877066,5273.437499999999,-107.6317349166267,5273.437499999999,-294.6677492201341
5371.093749999999,-48.59096696812047,5371.093749999999,-101.7920057346476,5371.093749999999,-294.8591081755599
5468.749999999999,-62.98591855544239,5468.749999999999,-116.1869573126513,5468.749999999999,-294.9663058154809
5566.406249999999,-53.35428975458348,5566.406249999999,-106.5553285208752,5566.406249999999,-295.1367753926186
5664.062499999999,-69.46687843855496,5664.062499999999,-122.6679171873734,5664.062499999999,-295.3242538994427
5761.718749999999,-59.2660274256596,5761.718749999999,-112.4670661868148,5761.718749999999,-295.4163247554161
5859.374999999999,-57.87810126979517,5859.374999999999,-111.079140031439,5859.374999999999,-295.6094071757859
5957.031249999999,-53.64686612619917,5957.031249999999,-106.8479048935718,5957.031249999999,-295.8116605719936
6054.687499999999,-64.18362754821436,6054.687499999999,-117.3846663149928,6054.687499999999,-295.8705183074894
6152.343749999999,-56.27166193900482,6152.343749999999,-109.4727007028284,6152.343749999999,-295.995605054675
6249.999999999999,-72.95980395047032,6249.999999999999,-126.160842730588,6249.999999999999,-296.0809112091625
6347.656249999999,-67.99223250722493,6347.656249999999,-121.1932712841806,6347.656249999999,-296.2796183684035
6445.312499999999,-62.63304926084962,6445.312499999999,-115.834088031695,6445.312499999999,-296.5069521150866
6542.968749999999,-52.03007446818152,6542.968749999999,-105.2311132362236,6542.968749999999,-296.548918059664
6640.624999999999,-55.91692316026776,6640.624999999999,-109.1179619252531,6640.624999999999,-296.7133690760836
6738.281249999999,-47.7019900481078,6738.281249999999,-100.9030288146082,6738.281249999999,-296.8729044877818
6835.937499999999,-58.49286827853089,6835.937499999999,-111.6939070431067,6835.937499999999,-296.9471690216528
6933.593749999999,-55.38626641644034,6933.593749999999,-108.5873051857921,6933.593749999999,-297.121671813731
7031.249999999999,-60.340527340134,7031.249999999999,-113.5415661111432,7031.249999999999,-297.2843343896387
7128.906249999999,-51.68027082836161,7128.906249999999,-104.8813095964668,7128.906249999999,-297.3210230898143
7226.562499999999,-57.67901103213249,7226.562499999999,-110.8800497992925,7226.562499999999,-297.451920878481
7324.218749999999,-55.13831308388275,7324.218749999999,-108.3393518472009,7324.218749999999,-297.6841935077413
7421.874999999999,-56.63228407056623,7421.874999999999,-109.8333228331771,7421.874999999999,-297.6539344950676
7519.531249999999,-59.12283524655935,7519.531249999999,-112.3238740111037,7519.531249999999,-297.7384875647385
7617.187499999999,-57.3851547946418,7617.187499999999,-110.5861935629429,7617.187499999999,-297.7970989391947
7714.843749999999,-45.77605657960844,7714.843749999999,-98.97709534538581,7714.843749999999,-297.9737921691243
7812.499999999999,-50.47488315373271,7812.499999999999,-103.6759219200952,7812.499999999999,-298.2104355030989
7910.156249999999,-56.26645511427972,7910.156249999999,-109.4674938794259,7910.156249999999,-298.2013470225031
8007.812499999999,-50.79984389688447,8007.812499999999,-104.0008826626722,8007.812499999999,-298.3501631575064
8105.468749999999,-56.03470995311157,8105.468749999999,-109.2357487163279,8105.468749999999,-298.4726574900137
8203.124999999998,-58.37527451174174,8203.124999999998,-111.5763132815198,8203.124999999998,-298.5336486068462
8300.781249999998,-55.35102436000466,8300.781249999998,-108.5520631279813,8300.781249999998,-298.6958185660949
8398.437499999998,-52.10796630527081,8398.437499999998,-105.3090050722961,8398.437499999998,-298.7794619228519
8496.093749999998,-64.9511066079054,8496.093749999998,-118.152145377047,8496.093749999998,-298.8904824564115
8593.749999999998,-47.09813742623847,8593.749999999998,-100.2991761933604,8593.749999999998,-298.9895088011248
8691.406249999998,-49.60016639660311,8691.406249999998,-102.8012051620952,8691.406249999998,-299.0677222457774
8789.062499999998,-59.81816207815798,8789.062499999998,-113.0192008451876,8789.062499999998,-299.147330630803
8886.718749999998,-78.45219370865827,8886.718749999998,-131.6532324521652,8886.718749999998,-299.2400078136747
8984.374999999998,-48.28671198988518,8984.374999999998,-101.4877507558943,8984.374999999998,-299.3219302809833
9082.031249999998,-48.08613365817824,9082.031249999998,-101.2871724237361,9082.031249999998,-299.4621355298777
9179.687499999998,-48.29780223320242,9179.687499999998,-101.498840999126,9179.687499999998,-299.5643097769532
9277.343749999998,-51.73325824514841,9277.343749999998,-104.9342970127228,9277.343749999998,-299.6244423589801
9374.999999999998,-57.60924206000308,9374.999999999998,-110.810280826622,9374.999999999998,-299.7096146800526
9472.656249999998,-49.57792842214928,9472.656249999998,-102.7789671894788,9472.656249999998,-299.8359028226851
