spectrum_ve (va=0.02) X,spectrum_ve (va=0.02) Y,spectrum_ve (va=0.05) X,spectrum_ve (va=0.05) Y,spectrum_ve (va=0.1) X,spectrum_ve (va=0.1) Y
15136.71875,-107.2486765460639,15136.71875,-100.8598838536789,15136.71875,-109.569596753194
15234.375,-94.86380785001336,15234.375,-95.28681762564935,15234.375,-99.31518402650133
15332.03125,-102.3959472368716,15332.03125,-98.88033780973304,15332.03125,-103.4846786589668
15429.6875,-106.0853546568447,15429.6875,-101.4705065020521,15429.6875,-97.73283648388701
15527.34375,-103.1480554698339,15527.34375,-100.7191465177163,15527.34375,-102.5662370518906
15625,-102.8457722020031,15625,-103.4584546720773,15625,-100.542112684798
15722.65625,-100.611567137589,15722.65625,-106.498764268349,15722.65625,-98.85989482214808
15820.3125,-99.43727968271089,15820.3125,-103.4038802853097,15820.3125,-107.136012176279
15917.96875,-106.3468786023637,15917.96875,-98.84078258449821,15917.96875,-106.048638141407
16015.625,-101.5315404769979,16015.625,-115.1774103414088,16015.625,-103.1485231251784
16113.28125,-99.56025818005432,16113.28125,-106.0656516552113,16113.28125,-98.11679155899709
16210.9375,-100.8451781662785,16210.9375,-95.7887794750001,16210.9375,-101.264591467901
16308.59375,-96.0542286061704,16308.59375,-103.8175933575922,16308.59375,-103.1469896412962
16406.25,-102.0502136093903,16406.25,-97.12046587159578,16406.25,-98.98275117708371
16503.90625,-104.8890327085431,16503.90625,-100.3113976412041,16503.90625,-100.4750754055824
16601.5625,-104.8468839537477,16601.5625,-106.8996120918882,16601.5625,-101.8744581457358
16699.21875,-108.3359120897121,16699.21875,-122.9501261135664,16699.21875,-102.3397642414834
16796.875,-97.26582680245455,16796.875,-105.4832769045837,16796.875,-115.5702028686319
16894.53125,-106.1829354315963,16894.53125,-100.6480739516549,16894.53125,-112.545859074729
16992.1875,-101.1999765086006,16992.1875,-98.53354103594988,16992.1875,-105.8360482802417
17089.84375,-99.36922351242995,17089.84375,-98.11766409986791,17089.84375,-109.2312665789152
17187.5,-105.2724692822872,17187.5,-95.2540214741134,17187.5,-109.8181562330057
17285.15625,-112.496990011575,17285.15625,-100.5580685092946,17285.15625,-97.76665227255037
17382.8125,-102.1053089892874,17382.8125,-99.42999252649061,17382.8125,-139.4753955402667
17480.46875,-95.4990003793484,17480.46875,-97.02399507017336,17480.46875,-95.57090769214457
17578.125,-98.49260750670409,17578.125,-97.02830509862937,17578.125,-105.3006710890888
17675.78125,-96.69483620925512,17675.78125,-103.6882560752634,17675.78125,-100.6708387130921
17773.4375,-93.50885023877908,17773.4375,-95.90856048780638,17773.4375,-103.6398046273411
17871.09375,-98.48298460678055,17871.09375,-102.8953564639943,17871.09375,-109.1546310195018
17968.75,-103.2945708177379,17968.75,-102.1805427921196,17968.75,-93.40801020950346
18066.40625,-99.0107801311992,18066.40625,-107.0640763688695,18066.40625,-103.9605548423773
18164.0625,-94.27006381064939,18164.0625,-112.0461734378109,18164.0625,-103.9743682829598
18261.71875,-99.1304081581192,18261.71875,-94.22641910929606,18261.71875,-104.0807971124821
18359.375,-117.3831676853004,18359.375,-109.5722229587301,18359.375,-96.47819674386808
18457.03125,-99.95408090485115,18457.03125,-98.2726739047757,18457.03125,-101.1181248870702
18554.6875,-91.7323538411555,18554.6875,-99.73088051645692,18554.6875,-92.97246970763702
18652.34375,-99.68873420271036,18652.34375,-98.00614149481001,18652.34375,-99.44410157930588
18750,-95.54582553946817,18750,-103.7870848256478,18750,-95.42222340295365
18847.65625,-99.42615899681536,18847.65625,-100.1706538781158,18847.65625,-94.62246476586812
18945.3125,-103.9481372595197,18945.3125,-108.0672028849133,18945.3125,-96.51637580731804
19042.96875,-102.6532280238488,19042.96875,-97.04871559988318,19042.96875,-94.45713714211756
19140.625,-99.25337455282809,19140.625,-93.22136775218161,19140.625,-98.76088394022281
19238.28125,-100.6867799355467,19238.28125,-92.70065782699783,19238.28125,-95.9033232405676
19335.9375,-101.2831815557401,19335.9375,-94.64032771147609,19335.9375,-101.6194685019947
19433.59375,-94.35416579574154,19433.59375,-91.09205632514822,19433.59375,-94.03894850321009
19531.25,-104.4073546319833,19531.25,-101.1259700348435,19531.25,-101.9865832614938
19628.90625,-98.00726371133521,19628.90625,-95.78552610020466,19628.90625,-98.23712735478198
19726.5625,-95.63453601781555,19726.5625,-94.32766728195259,19726.5625,-100.0302695509081
19824.21875,-102.9169608682121,19824.21875,-95.65177965769803,19824.21875,-96.44486808971061
19921.875,-93.84827565460462,19921.875,-96.31198931148646,19921.875,-104.0110847872148
20019.53125,-97.32722801663364,20019.53125,-106.1087751253603,20019.53125,-114.7242078252182
20117.1875,-101.4239459483059,20117.1875,-99.34818457043912,20117.1875,-110.3517176614446
20214.84375,-95.05991499278794,20214.84375,-101.1407850047183,20214.84375,-90.78536272034566
20312.5,-98.24451011336045,20312.5,-101.391619321529,20312.5,-99.04579934551339
20410.15625,-94.64681176153938,20410.15625,-98.30019442428311,20410.15625,-96.56606970175517
20507.8125,-102.5420747779206,20507.8125,-100.3459870528719,20507.8125,-106.9015006648235
20605.46875,-99.32522217955425,20605.46875,-97.48228752201663,20605.46875,-117.1641574439344
20703.125,-100.8306580472633,20703.125,-98.4132802209206,20703.125,-98.15294390718877
20800.78125,-93.50793367687599,20800.78125,-95.68021854813662,20800.78125,-102.2774155263842
20898.4375,-92.02064354678798,20898.4375,-92.84836060987243,20898.4375,-99.51950450107624
20996.09375,-93.73153433572344,20996.09375,-89.48083303560446,20996.09375,-94.37292947863082
21093.75,-96.35201185569967,21093.75,-94.76751039980074,21093.75,-98.12276178482493
